log_name,fps,frames_rendered,frames_target,stage
03_render_dataset_trajectory.log,5.74,637.0,637.0,render_splatfacto_dataset
08_render_nerfacto_dataset_traj.log,0.37,637.0,637.0,render_nerfacto_dataset
