metric_group,log_name,metric,value,unit,value_numeric
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_486,2622003,points,2622003.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_487,2636691,points,2636691.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_488,2643558,points,2643558.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_489,2647585,points,2647585.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_490,2650322,points,2650322.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_491,2652279,points,2652279.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_492,2653743,points,2653743.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_493,2654537,points,2654537.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_494,2655103,points,2655103.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_495,2656518,points,2656518.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_496,2657536,points,2657536.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_497,2657762,points,2657762.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_498,2658647,points,2658647.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_499,2658910,points,2658910.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_500,2659330,points,2659330.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_501,2659480,points,2659480.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_502,2659685,points,2659685.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_503,2659864,points,2659864.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_504,2659937,points,2659937.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_505,2659958,points,2659958.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_506,2660000,points,2660000.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_507,2660108,points,2660108.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_508,2661967,points,2661967.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_509,2664591,points,2664591.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_510,2665573,points,2665573.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_511,2666021,points,2666021.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_512,2666071,points,2666071.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_513,2666173,points,2666173.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_514,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_515,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_516,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_517,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_518,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_519,2666251,points,2666251.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_520,2693720,points,2693720.0
