"Case","OBJ","OBJ_Size_MB","Vertices","Faces","Triangles","Has_Normals","Has_UVs","Textures","Texture_Size_MB","Texture_Width","Texture_Height","SHA256"
"01-paraguas-vicentelopez","C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\textured-mesh.obj","755.904","3467152","6934120","6934120","False","True","1","47.07","8192","8192","32b0c42aaebee2ed1da91eb7c3ac2fde55d59f4e0a13e1ae488007e8d5fe9a8f"
"02-templete-central","C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh.obj","3934.306","17688149","35376582","35376582","False","True","1","62.378","8192","8192","29f7d79ca741b97496e38ef80aa7ce35c9ad490af4ab343349ce01a7a6c8eba6"
"03-panteon-asociacion-catalana","C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh.obj","3993.905","17871606","35742636","35742636","False","True","1","83.592","8192","8192","0370ff5b31d8a1dd4146e397d94c2b3ef4de150961d6d474984bad6b3bd1e291"
