"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_debug.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_sequential.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_retry2.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\render-downscale2.log","0","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\render-dataset-train.log","0.006","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\training-summary.txt","0.002","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\render-safe.log","0.006","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\render-downscale2-repeat1.log","0","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\nerf300\render-dataset-train-limited.log","0.006","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_trainflow_debug.log","0.011","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\powershell_session.txt","0.001","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_setup_debug.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_no_viewer.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\03_nerfstudio_colmap_results_2026-08-23.txt","0.007","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_retry3.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_workers0.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_localfs.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\01_realityscan_sfm_2026-08-22_16-46-20.txt","0.003","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\04_nerfstudio_nerf_train_retry.log","0.01","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\00_dataset_input_2026-08-22_16-00-31.txt","0.002","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
