ply_name,nn_sample_points,nn_mean,nn_median,nn_std,nn_min,nn_p05,nn_p25,nn_p75,nn_p95,nn_max
fused_low.ply,50000,0.12117115846966399,0.03754667968487374,0.9572138200531844,0.0007352094901211386,0.009395891307403974,0.021707115979705024,0.07141453944892728,0.3205499274197348,145.9283516837736
fused_medium.ply,50000,0.22668429361698555,0.047319037448548894,1.7682038812161727,0.0010455223742758405,0.009999336108147154,0.02425995369180384,0.10931175163362375,0.7002504098503164,201.50502465749528
fused_medium_high.ply,50000,0.31704960271959476,0.05340512162116598,3.342904413394934,0.0005560536702218656,0.0104821944341863,0.02609706089154442,0.13314488177440553,1.0049017280763977,494.02403621742354
fused_medium_high_clean.ply,50000,0.014362581055983478,0.011974318203750244,0.011588245974251959,0.00030081266078327046,0.0036664674456346686,0.007670478131191771,0.018083817038130858,0.031915765938350556,0.644783059916288
