ply_name,path,file_size_mb,points,has_colors,has_normals,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_volume_dataset_units,centroid_x,centroid_y,centroid_z,approx_points_per_bbox_volume
fused_low.ply,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/pointclouds/fused_low.ply,21.38,830361,True,True,-409.8500061035156,-60.945556640625,-310.38751220703125,388.2899475097656,6.5904388427734375,371.0133361816406,798.1399536132812,67.53599548339844,681.4008483886719,36729670.06326299,-0.5321189262825307,2.1105000270695715,-1.3035966096822398,0.02260736343587597
fused_medium.ply,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/pointclouds/fused_medium.ply,40.92,1589360,True,True,-933.1969604492188,-151.8029022216797,-921.2012939453125,979.9168701171875,164.9691925048828,621.6351318359375,1913.1138305664062,316.7720947265625,1542.83642578125,934991390.1633689,-0.2956677080198657,1.820614439182819,0.27787689896438234,0.0016998659203934432
fused_medium_high.ply,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/pointclouds/fused_medium_high.ply,54.26,2107280,True,True,-983.1539916992188,-337.1942443847656,-910.71240234375,1265.6419677734375,171.58877563476562,1751.0447998046875,2248.7959594726562,508.78302001953125,2661.7572021484375,3045447372.549248,-0.5525976695622696,1.662478427382713,0.4909112702176767,0.0006919443162913901
fused_medium_high_clean.ply,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/pointclouds/fused_medium_high_clean.ply,12.95,502817,True,True,-3.198848009109497,-0.5651125907897949,-4.473099708557129,4.564765453338623,2.693826198577881,2.2606492042541504,7.76361346244812,3.258938789367676,6.733748912811279,170.3715310950829,0.5522094957822584,1.0611105234660552,-1.1715580100178873,2951.2970668754638
