frame_index,file_path,file_name,x,y,z,forward_x,forward_y,forward_z,up_x,up_y,up_z,right_x,right_y,right_z,yaw_xz_deg,pitch_y_deg,step_from_previous,step_zscore
166,images/frame_00257.jpg,frame_00257.jpg,-2.4075363163884487,-4.073658296207832,0.8065674882150683,0.6095575610163577,0.7927384374679136,-0.002312481074513794,0.004830386662289987,-0.0007971675443374498,0.9999880148724778,0.7927270937545166,-0.6095614261785575,-0.004315152683392504,90.21736219615586,52.442164232864265,8.847770175957546,19.51022156474578
423,images/frame_00258.jpg,frame_00258.jpg,-2.347764317274562,-3.9875027350783494,0.8073819386482161,0.6099684519113745,0.7924227879159287,-0.0021472923388302797,0.004666576825471415,-0.0008823528710750012,0.9999887211934657,0.7924119564554623,-0.6099715933098508,-0.004236109237109207,90.20169941541104,52.41250473337022,6.341682746532161,13.903462589658215
296,images/frame_00059.jpg,frame_00059.jpg,2.6241994774090935,0.8923111113451857,-0.06240549383836588,-0.7352093144140049,-0.6777878590703813,-0.008419031754165989,0.005716604537769397,-0.018619890165826904,0.9998102910666461,-0.6778160387829778,0.7350217110990678,0.01756416185165257,-90.65607697655672,-42.671019462500894,3.184596792813222,6.8402533024246965
355,images/frame_00060.jpg,frame_00060.jpg,2.61822608729681,0.899649173276468,-0.06241568752654309,-0.7350766145472653,-0.6779308711337592,-0.00849133143586312,0.005304716173394014,-0.018274970508337148,0.9998189253256007,-0.6779632945315336,0.7348984674203246,0.017029734325795663,-90.66183008071962,-42.68216483977973,2.130922695506229,4.482914674678642
103,images/frame_00604.jpg,frame_00604.jpg,0.4435916882144137,-3.612814071836592,-0.9016499091629468,-0.6066352943635726,0.7949719328262284,0.0036391827313766952,-0.0028320219665946764,-0.006738715874925946,0.9999732833230784,0.7949752180313563,0.6066087814455771,0.006339320871347609,-89.65628885736932,52.652604711515686,0.7039069859629333,1.2903153091779163
510,images/frame_00345.jpg,frame_00345.jpg,0.31411439053099466,0.6311097398051041,1.135446593212285,0.0006668097852726666,0.9999819603005156,0.005969291268506212,0.0016640522771295887,-0.005970393917701764,0.9999807914787595,0.999998392146072,-0.000656863764771399,-0.0016680033768808422,6.373897699064626,89.6558459121991,0.6953077958424697,1.2710767200447957
509,images/frame_00344.jpg,frame_00344.jpg,0.33836865126267085,-0.06347088037298244,1.114893640414742,-0.0010799702661632754,0.9999819252583831,0.005914458619504681,0.0017330634195251845,-0.005912581561224083,0.99998101775507,0.9999979140755286,0.001090199898873125,-0.0017266466842959306,-10.348109338416199,89.65551181354863,0.6789134704953276,1.2343984183617331
102,images/frame_00605.jpg,frame_00605.jpg,-0.11022268481669115,-4.047278584657818,-0.8977419415836959,-0.6066106658033058,0.7949920470970019,0.0033381411277111314,-0.0027815058202372003,-0.006321261492867538,0.9999761511548717,0.794994189512755,0.606586914387095,0.006045819654993591,-89.68470803723005,52.65450448083692,0.651925858074293,1.1740202223015443
580,images/frame_00415.jpg,frame_00415.jpg,-0.14145024200819842,4.291429209306369,-0.38210222860101645,0.1206161742990649,-0.9925927897285193,-0.014535827338451173,0.010651855981253611,-0.013347791440095838,0.9998541755815327,-0.992642067646547,-0.12075341917572097,0.008962995914335765,96.87175197422003,-83.02196075586075,0.6337820951267918,1.1334279809641827
104,images/frame_00603.jpg,frame_00603.jpg,0.915123847917926,-3.2308089530028323,-0.9036918899242765,-0.6066499083636758,0.7949589575620734,0.004017769799930932,-0.0028514026655729616,-0.0072298721404763,0.9999697977697483,0.7949639967855037,0.6066201305105644,0.00665274936876739,-89.6205424516373,52.65137925680782,0.606856373564028,1.0731882505939818
