frame_index,file_path,file_name,x,y,z,forward_x,forward_y,forward_z,up_x,up_y,up_z,right_x,right_y,right_z,yaw_xz_deg,pitch_y_deg
0,images/frame_00707.jpg,frame_00707.jpg,-1.5736133683661448,-0.16968073663001831,-0.8325496144415039,0.8905681437388414,-0.4546298583509799,-0.014144654584762897,0.013085302659765208,-0.005476713996802719,0.9998993841672769,-0.454661582071607,-0.8906636264603855,0.0010715822778392062,90.90993696529675,-27.041121194314037
1,images/frame_00706.jpg,frame_00706.jpg,-1.5811502375375404,-0.1687271092572611,-0.8346263963826952,0.8905946367661964,-0.45458485094666434,-0.013921359599039156,0.012892879073400693,-0.0053624166147553005,0.9999025033258234,-0.4546151830201952,-0.8906872940476073,0.0010851680357333716,90.89554794145133,-27.038225990973267
2,images/frame_00705.jpg,frame_00705.jpg,-1.5911040248568555,-0.16777866844659056,-0.8347366503474424,0.8904098087673302,-0.4549498274771831,-0.013821176845985422,0.012849821115381249,-0.005227477753086967,0.999903772156923,-0.4549782989860388,-0.8905017270925546,0.0011914264342851512,90.88928884503922,-27.06170608726076
3,images/frame_00704.jpg,frame_00704.jpg,-1.5759970045682854,-0.15721486740224033,-0.8296640060669109,0.8898624756589794,-0.4560022318548269,-0.014378350304859332,0.01331693711823513,-0.005540788530570955,0.9998959730133172,-0.45603446317121854,-0.8899613824239097,0.0011420132496108724,90.92570158715174,-27.129438148684997
4,images/frame_00703.jpg,frame_00703.jpg,-1.5496275732202391,-0.1624927783530543,-0.8295349972002565,0.889658378444301,-0.4563980835625724,-0.014448424975348241,0.01330630370229723,-0.00571616150550348,0.9998951273905805,-0.45643280989170704,-0.8897573336691608,0.0009875405341055856,90.93042568085613,-27.154925522353786
5,images/frame_00702.jpg,frame_00702.jpg,-1.9715363429582016,0.10281982587390029,-0.8286314352107083,0.8913325844149922,-0.45312658850593934,-0.014230837960561243,0.013081743609840915,-0.005669954428543727,0.9998983536344607,-0.453161218490966,-0.8914281487622809,0.0008738707202013427,90.91469525300714,-26.944460278220625
6,images/frame_00701.jpg,frame_00701.jpg,-2.4158877668052514,0.3389386545835855,-0.8272475677925862,0.8933382393931318,-0.44915586961855414,-0.014345481002027776,0.013362379041395847,-0.005358652139663129,0.99989635946612,-0.44918619175608376,-0.8934373439891833,0.001214702111758691,90.91999294416009,-26.68953831061611
7,images/frame_00700.jpg,frame_00700.jpg,-2.6075502940032034,0.43597690062375544,-0.8226603399386313,0.9000432990960816,-0.43556684451283556,-0.014268206382455254,0.01342312755504467,-0.005017244313944077,0.9998973171811869,-0.43559370679439574,-0.9001424049674728,0.0013309321892817348,90.90822245450947,-25.82136855841988
8,images/frame_00699.jpg,frame_00699.jpg,-2.6354065600691214,0.47125257637308204,-0.8240098412939237,0.9283259196779269,-0.3714802532050166,-0.014608433621295035,0.013962889649247894,-0.004427567547534561,0.999892710423601,-0.3715050774441367,-0.9284302968582773,0.0010767120679518914,90.90155030138301,-21.80693733060791
9,images/frame_00698.jpg,frame_00698.jpg,-2.6387191843393887,0.4699663939842,-0.8265716458009442,0.9283696838497794,-0.37136601073703995,-0.014731401084670503,0.014024407177502836,-0.004604518441444753,0.9998910502715993,-0.37139338189038895,-0.9284751383204501,0.000933492817630096,90.90909504232428,-21.7998873929463
10,images/frame_00697.jpg,frame_00697.jpg,-2.632926160621143,0.46566896489102844,-0.8250538237004112,0.9283130534395545,-0.3714961763466396,-0.01501545116062919,0.014258056913070645,-0.004785547237980882,0.9998868957790659,-0.3715260160833888,-0.928422149400508,0.0008543276573235965,90.92667765345199,-21.807919980107712
11,images/frame_00696.jpg,frame_00696.jpg,-2.634823676333984,0.46470511605888193,-0.8215214772818571,0.9283542187506492,-0.371394130566437,-0.014994742701094185,0.014190880026720474,-0.004897464569970791,0.9998873095328558,-0.37142571458090906,-0.928462391603228,0.0007238276555060646,90.92535882736243,-21.801622644029802
12,images/frame_00695.jpg,frame_00695.jpg,-2.638925478256773,0.465115844663583,-0.8206182767076206,0.928344910036121,-0.37143469368832815,-0.01456002522951705,0.013797571570631202,-0.004710309469026357,0.999893713353304,-0.3714637977364412,-0.9284471332872777,0.0007521049504667253,90.89854492042072,-21.80412579728924
