tecnica,dataset,psnr,ssim,lpips
Nerfacto,DJI,19.466,0.6021,0.3230
Nerfacto,Insta360,18.791,0.5597,0.4486
Nerfacto,Hibrido,11.555,0.4598,0.6842
Splatfacto,DJI,23.575,0.7562,0.3356
Splatfacto,Insta360,13.992,0.5229,0.4327
Splatfacto,Hibrido,15.507,0.5554,0.5574
